second,avg_latency_ms_etcdv3_nocompression,throughput_etcdv3_nocompression,cumulative_throughput_etcdv3_nocompression,avg_cpu_etcdv3_nocompression,avg_memory_mb_etcdv3_nocompression,avg_latency_ms_etcdv3_snappy,throughput_etcdv3_snappy,cumulative_throughput_etcdv3_snappy,avg_cpu_etcdv3_snappy,avg_memory_mb_etcdv3_snappy
224,786.292454,1326,286348,295.84,1804.91,849.915110,1097,251961,449.90,1564.06
225,781.261419,1270,287618,295.90,1804.91,849.148612,1186,253147,449.95,1564.06
226,780.266874,1293,288911,295.95,1804.91,843.843761,1065,254212,450.01,1564.06
227,776.786496,1234,290145,295.95,1804.92,854.555000,1168,255380,450.17,1564.06
228,778.119347,1297,291442,296.01,1804.92,866.359283,1097,256477,450.09,1564.06
229,769.120584,1309,292751,296.09,1804.92,849.945574,1098,257575,450.18,1564.06
230,768.425824,1285,294036,296.11,1804.92,873.721011,1180,258755,450.25,1564.06
231,791.873338,1248,295284,296.16,1804.92,840.899355,1113,259868,450.43,1564.06
232,772.204844,1302,296586,296.24,1804.92,848.482150,1122,260990,450.47,1564.06
233,762.316170,1286,297872,296.31,1804.92,873.637377,1130,262120,450.53,1564.06
234,776.360667,1297,299169,296.35,1804.92,832.776036,1157,263277,450.61,1564.06
235,794.152242,1255,300424,296.37,1804.92,838.546306,1159,264436,450.62,1564.06
236,776.888056,1304,301728,296.37,1804.92,852.165324,1097,265533,450.72,1564.06
237,764.911454,1269,302997,296.45,1804.92,848.898843,1143,266676,450.82,1564.06
238,796.407539,1275,304272,296.48,1804.92,847.434571,1136,267812,450.95,1564.06
239,786.311363,1305,305577,296.50,1804.92,847.872575,1140,268952,450.94,1564.06
240,760.129084,1263,306840,296.52,1804.92,827.546060,1177,270129,451.06,1564.06
241,798.887139,1264,308104,296.52,1805.69,850.235839,1113,271242,451.07,1564.06
242,784.347015,1287,309391,296.54,1805.69,844.951920,1188,272430,451.12,1564.06
243,750.802350,1288,310679,296.59,1805.69,799.418494,1117,273547,451.22,1564.06
244,788.495814,1288,311967,296.62,1805.69,861.522703,1145,274692,451.40,1564.06
245,782.906312,1270,313237,296.64,1805.69,855.575402,1128,275820,451.44,1564.06
246,800.329444,1224,314461,296.71,1805.69,850.662048,1119,276939,451.47,1564.06
247,762.648268,1295,315756,296.73,1805.69,789.036082,1137,278076,451.59,1564.06
248,777.143161,1310,317066,296.75,1805.69,903.530095,1180,279256,451.64,1564.06
249,778.243483,1303,318369,296.84,1805.69,827.576432,1091,280347,451.62,1564.06
250,784.677340,1241,319610,296.93,1805.69,871.765034,1179,281526,451.64,1564.06
251,791.163935,1282,320892,297.01,1805.69,841.014292,1148,282674,451.69,1564.06
252,773.721210,1278,322170,297.09,1805.69,878.152063,1170,283844,451.76,1564.06
253,779.467388,1268,323438,297.21,1805.69,751.026774,1062,284906,451.79,1564.06
254,801.464459,1272,324710,297.32,1805.69,922.133732,1175,286081,451.90,1564.06
255,787.611763,1251,325961,297.42,1805.69,865.270998,1124,287205,451.94,1564.06
256,772.436685,1286,327247,297.52,1805.69,848.127781,1147,288352,452.05,1564.06
257,830.565459,1230,328477,297.59,1805.69,832.390087,1102,289454,452.16,1564.06
258,765.674451,1299,329776,297.72,1805.69,858.323988,1202,290656,452.13,1564.06
259,768.973431,1274,331050,297.82,1805.69,847.793258,1163,291819,452.30,1564.06
260,771.187998,1296,332346,297.84,1805.69,841.863414,1103,292922,452.31,1564.06
261,787.121072,1273,333619,297.86,1805.69,817.836407,1172,294094,452.36,1564.06
262,794.330106,1242,334861,297.86,1805.70,863.920510,1149,295243,452.51,1564.06
263,796.866011,1267,336128,297.87,1805.70,863.539864,1133,296376,452.48,1564.06
264,796.067931,1272,337400,297.87,1805.70,833.161033,1139,297515,452.61,1564.06
265,765.393702,1289,338689,297.92,1805.70,836.917736,1165,298680,452.65,1564.06
266,799.917480,1235,339924,297.93,1805.70,858.946129,1128,299808,452.75,1564.06
267,777.176178,1249,341173,297.97,1805.71,831.527766,1170,300978,452.84,1564.06
268,782.364597,1323,342496,297.99,1805.71,862.244055,1145,302123,452.91,1564.06
269,779.796206,1282,343778,298.03,1805.71,834.510786,1130,303253,452.99,1564.06
270,769.434064,1259,345037,298.09,1805.71,845.184470,1181,304434,453.05,1564.06
271,792.230451,1305,346342,298.11,1805.71,843.064722,1114,305548,453.11,1564.06
272,778.040336,1273,347615,298.15,1805.71,852.035411,1155,306703,453.13,1564.06
273,776.144272,1270,348885,298.21,1805.71,785.535110,1150,307853,453.23,1564.06
274,779.145483,1282,350167,298.23,1805.71,898.507340,1184,309037,453.37,1564.06
275,774.071479,1288,351455,298.28,1805.71,835.826972,1101,310138,453.34,1564.06
276,801.797669,1240,352695,298.28,1805.71,846.569856,1146,311284,453.42,1564.06
277,783.381066,1283,353978,298.29,1805.71,796.126567,1174,312458,453.52,1564.06
278,774.734380,1272,355250,298.33,1805.71,844.162600,1154,313612,453.50,1564.06
279,775.294681,1295,356545,298.37,1805.71,874.554558,1167,314779,453.54,1564.06
280,776.716096,1225,357770,298.37,1805.71,820.052097,1156,315935,453.65,1564.06
281,814.235363,1249,359019,298.36,1805.71,862.593947,1154,317089,453.74,1564.06
282,796.359887,1310,360329,298.38,1805.71,853.928354,1137,318226,453.79,1564.06
