second,avg_latency_ms_etcd_v3_nocompression,throughput_etcd_v3_nocompression,cumulative_throughput_etcd_v3_nocompression,avg_cpu_etcd_v3_nocompression,avg_memory_mb_etcd_v3_nocompression,avg_latency_ms_etcd_v3_cgzip,throughput_etcd_v3_cgzip,cumulative_throughput_etcd_v3_cgzip,avg_cpu_etcd_v3_cgzip,avg_memory_mb_etcd_v3_cgzip,avg_latency_ms_etcd_v3_cgzip_lv2,throughput_etcd_v3_cgzip_lv2,cumulative_throughput_etcd_v3_cgzip_lv2,avg_cpu_etcd_v3_cgzip_lv2,avg_memory_mb_etcd_v3_cgzip_lv2,avg_latency_ms_etcd_v3_gzip,throughput_etcd_v3_gzip,cumulative_throughput_etcd_v3_gzip,avg_cpu_etcd_v3_gzip,avg_memory_mb_etcd_v3_gzip,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_snappy_cpp,throughput_etcd_v3_snappy_cpp,cumulative_throughput_etcd_v3_snappy_cpp,avg_cpu_etcd_v3_snappy_cpp,avg_memory_mb_etcd_v3_snappy_cpp
62,34.289151,27507,1827355,397.96,733.43,73.147249,12922,840081,411.04,402.61,69.886124,14114,848532,404.30,403.39,164.789397,6032,378458,115.80,234.60,37.057598,26858,1686015,415.37,685.63,56.485187,16828,1064152,397.00,470.37
63,34.385573,30600,1857955,398.74,742.34,72.375466,11695,851776,411.92,408.11,68.741990,13391,861923,405.54,409.01,166.644175,5917,384375,116.37,238.00,40.616223,24177,1710192,416.13,698.37,58.180588,16833,1080985,397.89,478.32
64,34.246480,27801,1885756,399.43,749.37,83.147920,12887,864663,412.69,413.35,72.728030,13351,875274,406.34,414.30,170.038032,6062,390437,116.81,239.35,39.066164,24514,1734706,416.24,705.85,62.423508,15855,1096840,398.43,482.84
65,31.608946,31454,1917210,400.64,757.56,69.107103,13531,878194,413.76,418.38,74.672369,12583,887857,407.14,420.11,165.544794,5872,396309,117.13,240.02,36.204911,28067,1762773,417.37,714.55,57.708850,16000,1112840,399.10,489.00
66,37.590316,26278,1943488,400.97,768.52,77.143048,11850,890044,414.39,422.15,72.496250,12433,900290,407.77,424.80,169.771723,5769,402078,117.78,243.16,38.744838,23626,1786399,418.18,726.99,67.828119,14657,1127497,399.79,496.45
67,36.141690,28974,1972462,401.87,782.06,82.022905,11494,901538,414.83,428.57,69.359411,13930,914220,408.56,429.53,167.804544,6027,408105,118.15,246.19,40.214501,26753,1813152,418.41,733.80,62.125119,15462,1142959,399.38,497.48
68,40.062811,25076,1997538,401.96,789.76,81.181774,11591,913129,414.50,431.82,73.192861,13101,927321,409.19,435.31,166.034011,6246,414351,118.56,247.42,45.489326,21788,1834940,418.92,748.39,61.473294,16021,1158980,400.11,506.32
69,23.446653,2462,,,,83.156162,11009,924138,414.56,436.61,69.060311,13181,940502,410.17,441.29,168.935317,5776,420127,118.99,255.36,37.684947,25009,1859949,418.85,755.99,60.138792,15680,1174660,400.25,512.49
70,,,,,,77.353714,11839,935977,414.33,440.37,73.430754,12779,953281,410.60,443.57,168.181951,6011,426138,119.52,257.78,43.666824,23790,1883739,419.08,762.79,61.626727,16838,1191498,401.02,516.93
71,,,,,,83.549875,10474,946451,414.25,443.23,74.331021,12152,965433,410.60,448.54,166.893345,5928,432066,119.81,258.02,44.811368,22196,1905935,419.75,769.89,57.549902,16277,1207775,401.28,523.61
72,,,,,,83.550894,11484,957935,413.92,446.93,73.401897,13124,978557,411.20,454.44,164.826076,6063,438129,120.20,258.31,37.524099,26415,1932350,419.79,785.57,62.141686,14954,1222729,401.94,528.26
73,,,,,,80.489166,11293,969228,413.63,452.92,79.504719,11559,990116,411.16,456.80,166.019087,5972,444101,120.56,258.91,42.409365,23183,1955533,420.24,791.43,62.750433,16617,1239346,402.13,535.27
74,,,,,,75.798885,12375,981603,413.88,456.46,80.992577,11453,1001569,411.49,460.06,165.285404,6023,450124,121.03,261.61,38.042194,25172,1980705,420.51,802.08,71.239592,13173,1252519,402.18,541.45
75,,,,,,76.113710,11721,993324,413.92,461.77,73.498458,12966,1014535,411.37,465.95,165.331467,6065,456189,121.40,268.74,45.401676,19295,,,,60.218510,15952,1268471,402.09,548.99
76,,,,,,72.326665,13638,1006962,414.61,469.62,69.525190,12582,1027117,411.88,470.81,165.205364,5851,462040,121.83,269.55,,,,,,65.090837,15708,1284179,402.87,555.10
77,,,,,,64.891294,13150,1020112,415.49,473.54,75.507460,12690,1039807,412.42,474.85,165.605771,6286,468326,122.12,271.17,,,,,,56.799585,17212,1301391,403.32,561.61
78,,,,,,68.342557,14950,1035062,415.93,478.43,76.208482,11902,1051709,412.70,479.34,166.316486,6105,474431,122.45,272.97,,,,,,56.233187,16891,1318282,404.22,568.26
79,,,,,,69.027545,12810,1047872,416.68,483.60,73.874169,12722,1064431,413.13,485.92,167.962702,5868,480299,122.75,275.52,,,,,,57.114303,16682,1334964,404.60,575.22
80,,,,,,72.684710,13536,1061408,417.33,489.09,66.777818,13845,1078276,413.61,491.73,166.934467,5966,486265,123.07,277.70,,,,,,59.765714,15989,1350953,405.28,582.64
81,,,,,,66.409955,13493,1074901,417.94,494.58,67.374753,14102,1092378,414.33,494.68,166.126827,5898,492163,123.49,280.52,,,,,,59.251823,16379,1367332,405.92,589.15
82,,,,,,73.009061,12768,1087669,418.46,498.54,73.397977,11982,1104360,415.12,500.88,169.052804,6057,498220,123.79,285.04,,,,,,59.137277,16142,1383474,406.06,594.96
83,,,,,,79.632597,12506,1100175,418.77,501.80,78.829209,12853,1117213,415.63,507.03,167.299447,5710,503930,124.16,288.58,,,,,,58.846361,17324,1400798,406.51,602.57
84,,,,,,66.089905,14036,1114211,419.19,507.45,79.013261,11991,1129204,415.63,509.96,167.226988,6059,509989,124.43,290.14,,,,,,58.558127,17321,1418119,407.10,608.31
85,,,,,,75.574276,12336,1126547,419.74,510.70,67.526929,12806,1142010,415.96,514.31,169.595476,6004,515993,124.65,292.67,,,,,,57.689506,16797,1434916,407.82,613.99
86,,,,,,76.772370,11326,1137873,420.25,515.18,77.004067,12924,1154934,416.66,519.58,171.126410,5815,521808,124.88,297.79,,,,,,62.639726,15526,1450442,408.07,617.80
87,,,,,,82.215170,11894,1149767,420.52,520.07,67.394129,13449,1168383,416.90,523.05,169.996835,5959,527767,125.21,299.54,,,,,,55.591383,16704,1467146,408.60,624.94
88,,,,,,73.939822,12711,1162478,420.59,523.52,73.643647,12945,1181328,417.26,528.96,172.566475,5743,533510,125.48,300.26,,,,,,55.626956,18791,1485937,409.25,635.06
89,,,,,,73.381903,13257,1175735,421.42,527.70,69.237065,12862,1194190,417.78,534.08,172.115127,5729,539239,125.71,300.53,,,,,,60.281342,16217,1502154,409.92,641.79
90,,,,,,70.195717,13304,1189039,421.99,535.34,73.021533,13614,1207804,418.38,541.81,169.317825,5859,545098,126.04,303.58,,,,,,57.665763,15399,1517553,410.36,645.02
91,,,,,,72.731187,12950,1201989,422.55,539.32,71.004945,13455,1221259,418.83,546.08,169.375465,6010,551108,126.35,305.52,,,,,,76.319399,13899,1531452,410.46,648.56
92,,,,,,69.410594,14173,1216162,423.34,544.14,83.057750,11524,1232783,419.24,549.24,173.066077,5667,556775,126.67,309.01,,,,,,58.021718,16924,1548376,410.11,654.49
93,,,,,,75.188947,12462,1228624,424.06,548.15,72.905197,12680,1245463,419.66,554.70,172.204815,5808,562583,126.86,311.19,,,,,,70.703659,13922,1562298,410.72,659.10
94,,,,,,68.965878,13493,1242117,424.38,553.47,77.024610,11905,1257368,420.01,560.57,171.723278,5814,568397,127.19,314.83,,,,,,60.404144,15067,1577365,411.25,667.68
95,,,,,,77.962555,11230,1253347,424.95,560.13,72.512631,13197,1270565,420.19,565.10,168.097705,5833,574230,127.43,318.97,,,,,,68.452342,14295,1591660,410.90,672.78
96,,,,,,75.791332,13178,1266525,425.03,562.80,73.602725,12378,1282943,420.40,568.67,166.906243,6134,580364,127.64,319.86,,,,,,54.447666,17964,1609624,411.24,679.92
97,,,,,,81.598070,10571,1277096,425.42,566.02,69.892915,13278,1296221,421.31,575.96,167.982170,5957,586321,127.82,323.58,,,,,,65.025456,15613,1625237,411.77,685.59
