second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
189,105.825268,8,1870,11.29,4667.37,127.479945,9,1918,11.01,4791.47,135.794258,8,1776,11.93,4671.07
190,123.858112,9,1879,11.28,4713.19,123.552251,9,1927,11.00,4814.69,134.346819,8,1784,11.93,4693.24
191,152.793440,7,1886,11.27,4753.10,125.640092,6,1933,11.00,4840.17,114.458618,7,1791,11.92,4700.16
192,104.294724,8,1894,11.27,4793.08,127.781827,9,1942,10.99,4869.92,129.007880,9,1800,11.90,4701.44
193,141.357068,7,1901,11.26,4831.75,135.194330,8,1950,10.99,4929.98,147.789310,7,1807,11.89,4709.64
194,128.506914,9,1910,11.26,4874.66,131.907042,8,1958,10.98,4978.05,105.187778,8,1815,11.88,4714.86
195,126.115378,6,1916,11.26,4914.91,126.976712,6,1964,10.98,5034.27,147.935318,7,1822,11.87,4725.03
196,124.016292,9,1925,11.25,4932.92,124.203328,9,1973,10.98,5058.80,187.916218,6,1828,11.85,4732.20
197,128.095461,9,1934,11.24,4948.14,139.354495,8,1981,10.98,5088.33,134.443762,6,1834,11.84,4737.36
198,126.387578,6,1940,11.23,4968.05,113.487397,7,1988,10.97,5113.07,202.520807,5,1839,11.82,4746.16
199,124.179576,9,1949,11.22,4977.55,124.307392,9,1997,10.96,5133.52,156.103364,7,1846,11.81,4752.72
200,139.375681,8,1957,11.21,4983.72,132.364121,3,,,,159.701562,6,1852,11.79,4759.08
201,113.844013,7,1964,11.19,4990.86,,,,,,142.556269,7,1859,11.77,4768.35
202,124.658701,9,1973,11.19,4997.73,,,,,,155.527099,7,1866,11.76,4773.18
203,154.334387,7,1980,11.18,5005.86,,,,,,121.952455,8,1874,11.74,4782.03
204,104.258791,8,1988,11.16,5012.51,,,,,,134.412190,8,1882,11.74,4787.40
205,124.488961,9,1997,11.16,5020.12,,,,,,113.599306,7,1889,11.73,4818.65
206,132.998271,3,,,,,,,,,127.617057,9,1898,11.73,4874.54
207,,,,,,,,,,,148.553791,7,1905,11.74,4947.67
208,,,,,,,,,,,103.587208,8,1913,11.75,5001.01
209,,,,,,,,,,,127.800474,9,1922,11.74,5037.18
210,,,,,,,,,,,148.367007,7,1929,11.74,5071.70
211,,,,,,,,,,,104.300243,8,1937,11.75,5113.53
212,,,,,,,,,,,127.742272,9,1946,11.74,5151.85
213,,,,,,,,,,,126.051272,6,1952,11.74,5191.33
214,,,,,,,,,,,126.015204,9,1961,11.74,5215.22
215,,,,,,,,,,,138.769384,8,1969,11.73,5230.46
216,,,,,,,,,,,114.268750,7,1976,11.71,5234.18
217,,,,,,,,,,,124.070186,9,1985,11.71,5242.78
218,,,,,,,,,,,139.390379,8,1993,11.69,5251.76
219,,,,,,,,,,,113.835864,7,,,
