second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot1,throughput_zookeeper_v3.4.8_snapshot1,cumulative_throughput_zookeeper_v3.4.8_snapshot1,avg_cpu_zookeeper_v3.4.8_snapshot1,avg_memory_mb_zookeeper_v3.4.8_snapshot1,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
143,,,,,,0.000000,0,1858536,173.10,2519.11,,,,,,,,,,
144,,,,,,3599.249398,295,1858831,172.25,2515.14,,,,,,,,,,
145,,,,,,0.000000,0,1858831,171.65,2515.14,,,,,,,,,,
146,,,,,,5100.040215,1,1858832,170.74,2515.14,,,,,,,,,,
147,,,,,,0.000000,0,1858832,170.03,2515.14,,,,,,,,,,
148,,,,,,0.000000,0,1858832,169.32,2515.14,,,,,,,,,,
149,,,,,,0.000000,0,1858832,168.75,2515.04,,,,,,,,,,
150,,,,,,142.072801,12834,1871666,168.17,2514.20,,,,,,,,,,
151,,,,,,18.301003,1105,1872771,168.04,2537.12,,,,,,,,,,
152,,,,,,0.000000,0,1872771,168.76,2551.48,,,,,,,,,,
153,,,,,,594.312029,1643,1874414,169.48,2563.85,,,,,,,,,,
154,,,,,,44.932021,22112,1896526,169.34,2564.50,,,,,,,,,,
155,,,,,,67.480270,3424,1899950,169.82,2559.80,,,,,,,,,,
156,,,,,,0.000000,0,1899950,170.20,2560.27,,,,,,,,,,
157,,,,,,2191.693653,316,1900266,170.60,2560.73,,,,,,,,,,
158,,,,,,0.000000,0,1900266,169.83,2559.20,,,,,,,,,,
159,,,,,,67.876043,15579,1915845,169.09,2559.42,,,,,,,,,,
160,,,,,,26.888514,30267,1946112,169.94,2593.16,,,,,,,,,,
161,,,,,,21.295164,21404,,,,,,,,,,,,,
