second,avg_latency_ms_etcd3,throughput_etcd3,cumulative_throughput_etcd3,avg_cpu_etcd3,avg_memory_mb_etcd3,avg_latency_ms_zk,throughput_zk,cumulative_throughput_zk,avg_cpu_zk,avg_memory_mb_zk
54,70.226471,14424,763719,104.66,464.30,34.935346,28570,1294362,124.92,2292.06
55,71.612509,11842,775561,105.99,470.49,40.537863,24504,1318866,126.61,2323.14
56,94.017454,12213,787774,106.98,476.75,39.099971,25630,1344496,128.12,2323.12
57,70.546790,13845,801619,108.14,483.42,33.102856,29749,1374245,129.86,2355.69
58,75.271319,12754,814373,109.34,489.80,38.512093,26316,1400561,131.50,2361.19
59,76.080222,13374,827747,110.41,498.97,37.373898,26812,1427373,132.98,2361.44
60,75.658154,13174,840921,111.54,502.95,35.903093,27745,1455118,134.29,2361.65
61,82.159732,12620,853541,112.63,508.51,40.649544,24692,1479810,136.01,2373.73
62,81.796585,12157,865698,113.49,512.28,36.381486,27078,1506888,137.54,2387.64
63,75.355937,13155,878853,114.69,519.67,38.895787,10615,1517503,138.85,2417.42
64,71.555243,14056,892909,115.81,529.25,146.434740,17754,1535257,140.13,2451.10
65,72.888304,13711,906620,116.87,532.62,65.312958,15346,1550603,141.02,2451.64
66,73.296756,13589,920209,117.92,539.93,38.909754,22256,1572859,141.97,2458.12
67,75.400826,13236,933445,118.93,546.24,79.360814,11457,1584316,143.12,2471.04
68,97.325974,10275,943720,119.77,552.46,39.491206,13298,1597614,144.71,2517.20
69,79.743290,12469,956189,120.72,558.60,100.145886,6766,1604380,146.88,2576.21
70,80.327868,12300,968489,121.72,565.65,89.250895,6886,1611266,148.83,2577.17
71,77.290668,13081,981570,122.69,571.73,79.170858,15197,1626463,149.87,2598.60
72,72.242213,12523,994093,123.64,583.13,129.984646,7361,1633824,149.66,2602.99
73,73.363082,13797,1007890,124.65,588.07,79.314613,15653,1649477,150.41,2636.62
74,83.231358,13005,1020895,125.74,596.85,41.877056,23734,1673211,150.57,2658.52
75,78.012977,12687,1033582,126.52,603.91,41.174171,23616,1696827,151.48,2665.61
76,80.981333,12256,1045838,127.42,610.03,40.970804,25214,1722041,152.67,2667.83
77,83.547618,12188,1058026,128.15,616.61,37.788539,24568,1746609,154.16,2673.46
78,83.283962,11898,1069924,128.96,618.91,35.279299,30254,1776863,155.83,2678.91
79,83.019366,11968,1081892,129.86,624.74,37.150002,26819,1803682,157.38,2666.12
80,69.918735,13270,1095162,130.75,634.23,37.343954,26583,1830265,158.80,2668.95
81,95.861125,11190,1106352,131.56,639.89,43.072671,23442,1853707,160.10,2671.71
82,84.909452,11750,1118102,132.40,647.34,37.883227,26401,1880108,161.17,2670.99
83,78.722056,12653,1130755,133.21,652.26,38.427233,25993,1906101,162.01,2673.16
84,68.605617,12081,1142836,133.84,656.87,42.034040,23788,1929889,163.25,2675.93
85,77.369805,14334,1157170,134.76,665.79,41.415194,24235,1954124,164.60,2692.72
86,72.589716,14503,1171673,135.67,670.76,35.246327,13395,1967519,165.88,2748.37
87,87.247726,11489,1183162,136.55,677.66,2481.628091,67,1967586,167.09,2775.92
88,86.354014,11543,1194705,137.13,684.19,1225.292468,1990,1969576,168.16,2808.49
89,84.427107,11954,1206659,137.89,690.38,44.826449,23648,1993224,169.58,2864.11
90,71.644944,13572,1220231,138.81,699.25,40.064525,22297,2015521,170.88,2864.72
91,78.234584,12636,1232867,139.58,704.51,34.194590,19407,2034928,171.67,2881.89
92,68.777840,13999,1246866,140.52,712.59,55.512730,10198,2045126,171.43,2883.22
93,88.517423,9995,1256861,141.02,716.06,573.600968,3010,2048136,171.48,2909.06
94,82.801932,13873,1270734,141.67,719.56,306.546996,3106,2051242,172.75,2922.06
95,84.089693,12251,1282985,142.61,724.88,62.365972,19223,2070465,173.83,2944.33
96,83.493621,11962,1294947,143.37,730.37,47.547710,21152,2091617,175.82,2984.78
