second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
129,0.352482,2796,351634,17.07,42.53,0.280115,3549,493531,11.54,89.76,0.401118,2469,305414,13.46,21.16
130,0.335389,2939,354573,17.08,42.53,0.276360,3596,497127,11.54,89.76,0.398895,2484,307898,13.47,21.16
131,0.341153,2891,357464,17.09,42.62,0.277915,3577,500704,11.55,89.76,0.393054,2521,310419,13.48,21.16
132,0.339090,2912,360376,17.10,42.62,0.286313,3470,504174,11.56,92.47,0.401034,2463,312882,13.48,21.16
133,0.337213,2926,363302,17.11,42.62,0.296270,3355,507529,11.56,92.47,0.410406,2394,315276,13.49,21.16
134,0.337864,2924,366226,17.12,42.62,0.284253,3496,511025,11.57,92.47,0.434268,2265,317541,13.51,21.16
135,0.334434,2953,369179,17.12,42.70,0.287093,3461,514486,11.57,92.47,0.412654,2391,319932,13.51,21.16
136,0.341029,2889,372068,17.14,42.70,0.263016,3776,518262,11.58,92.47,0.395809,2501,322433,13.53,21.16
137,0.350756,2815,374883,17.14,42.70,0.252843,3926,522188,11.58,92.47,0.410211,2412,324845,13.53,21.16
138,0.346711,2850,377733,17.15,42.70,0.249752,3975,526163,11.57,92.47,0.420075,2356,327201,13.54,21.16
139,0.341250,2896,380629,17.16,42.79,0.235152,4219,530382,11.57,92.47,0.423757,2329,329530,13.55,21.16
140,0.341681,2888,383517,17.16,42.87,0.250392,3965,534347,11.57,92.47,0.408655,2423,331953,13.55,21.16
141,0.345136,2858,386375,17.17,42.96,0.251641,3946,538293,11.58,92.47,0.416968,2375,334328,13.56,21.16
142,0.347450,2843,389218,17.17,42.96,0.275120,3612,541905,11.58,95.90,0.406657,2435,336763,13.57,21.16
143,0.345481,2859,392077,17.18,42.96,0.280800,3540,545445,11.58,95.90,0.415392,2381,339144,13.58,21.16
144,0.349582,2821,394898,17.18,42.96,0.290341,3424,548869,11.58,95.90,0.413058,2395,341539,13.59,21.16
145,0.349240,2828,397726,17.19,42.96,0.284050,3498,552367,11.58,95.90,0.410582,2405,343944,13.61,21.16
146,0.344637,2862,400588,17.20,42.96,0.282935,3513,555880,11.59,95.90,0.406418,2441,346385,13.62,21.16
147,0.348847,2828,403416,17.20,42.96,0.278451,3568,559448,11.59,95.91,0.407219,2431,348816,13.63,21.16
148,0.345785,2857,406273,17.22,43.05,0.267498,3713,563161,11.58,95.91,0.423550,2338,351154,13.64,21.16
149,0.351608,2807,409080,17.22,43.05,0.272128,3650,566811,11.58,95.91,0.411046,2408,353562,13.64,21.16
150,0.361162,2743,411823,17.23,43.14,0.279435,3555,570366,11.58,95.91,0.419545,2358,355920,13.65,21.16
151,0.375026,2629,414452,17.23,43.31,0.279005,3563,573929,11.58,95.91,0.419496,2360,358280,13.66,21.16
152,0.413394,2383,416835,17.22,43.31,0.247466,4012,577941,11.59,96.42,0.409355,2417,360697,13.66,21.16
153,0.416196,2369,419204,17.22,43.40,0.255276,3890,581831,11.58,96.42,0.401336,2463,363160,13.68,21.16
