second,avg_latency_ms_zookeeper_v3.4.8_snap100k,throughput_zookeeper_v3.4.8_snap100k,cumulative_throughput_zookeeper_v3.4.8_snap100k,avg_cpu_zookeeper_v3.4.8_snap100k,avg_memory_mb_zookeeper_v3.4.8_snap100k,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv2_go1.4,throughput_etcdv2_go1.4,cumulative_throughput_etcdv2_go1.4,avg_cpu_etcdv2_go1.4,avg_memory_mb_etcdv2_go1.4
201,,,,,,,,,,,0.000000,0,238711,34.31,1567.85
202,,,,,,,,,,,629.768541,749,239460,34.38,1569.48
203,,,,,,,,,,,0.000000,0,239460,34.43,1572.73
204,,,,,,,,,,,291.555475,888,240348,34.52,1572.73
205,,,,,,,,,,,278.822799,2187,242535,34.60,1572.81
206,,,,,,,,,,,281.155976,2337,244872,34.59,1572.81
207,,,,,,,,,,,255.676912,1831,246703,34.56,1572.81
208,,,,,,,,,,,0.000000,0,246703,34.61,1572.81
209,,,,,,,,,,,0.000000,0,246703,34.64,1572.89
210,,,,,,,,,,,339.616669,679,247382,34.74,1572.89
211,,,,,,,,,,,0.000000,0,247382,34.84,1572.89
212,,,,,,,,,,,381.301445,602,247984,35.01,1587.13
213,,,,,,,,,,,278.236630,1913,249897,35.14,1587.22
214,,,,,,,,,,,491.455009,968,250865,35.23,1587.22
215,,,,,,,,,,,415.265910,2177,253042,35.22,1587.22
216,,,,,,,,,,,0.000000,0,253042,35.18,1587.22
217,,,,,,,,,,,0.000000,0,253042,35.19,1587.22
218,,,,,,,,,,,0.000000,0,253042,35.20,1587.22
219,,,,,,,,,,,0.000000,0,253042,35.21,1587.22
220,,,,,,,,,,,716.312260,406,253448,35.10,1587.22
221,,,,,,,,,,,0.000000,0,253448,35.21,1587.22
222,,,,,,,,,,,0.000000,0,253448,35.37,1587.48
223,,,,,,,,,,,0.000000,0,253448,35.51,1587.48
224,,,,,,,,,,,269.643295,533,253981,35.66,1587.48
225,,,,,,,,,,,443.207274,1632,255613,35.74,1587.48
226,,,,,,,,,,,231.164767,273,255886,35.78,1628.62
227,,,,,,,,,,,357.276330,98,255984,35.78,1628.62
228,,,,,,,,,,,0.000000,0,255984,35.87,1628.71
229,,,,,,,,,,,200.536279,1504,257488,36.01,1628.71
230,,,,,,,,,,,352.112915,1417,258905,36.08,1631.36
231,,,,,,,,,,,425.140967,58,258963,36.13,1674.07
232,,,,,,,,,,,136.482711,547,259510,36.14,1674.07
233,,,,,,,,,,,398.639110,823,260333,36.18,1674.15
234,,,,,,,,,,,348.668078,1420,261753,36.22,1674.15
235,,,,,,,,,,,562.002948,1050,262803,36.23,1674.15
236,,,,,,,,,,,466.970705,639,263442,36.15,1674.15
237,,,,,,,,,,,0.000000,0,263442,36.13,1674.15
238,,,,,,,,,,,107.245294,334,263776,36.15,1674.15
239,,,,,,,,,,,0.000000,0,263776,36.29,1674.36
240,,,,,,,,,,,0.000000,0,263776,36.42,1674.37
241,,,,,,,,,,,260.737778,1927,265703,36.56,1720.99
242,,,,,,,,,,,0.000000,0,265703,36.66,1721.07
243,,,,,,,,,,,211.364819,1586,267289,36.67,1721.07
244,,,,,,,,,,,460.552317,1255,268544,36.72,1721.07
245,,,,,,,,,,,430.541170,842,269386,36.76,1721.07
246,,,,,,,,,,,308.349223,1401,270787,36.75,1765.56
247,,,,,,,,,,,0.000000,0,270787,36.74,1765.56
248,,,,,,,,,,,218.499488,356,271143,36.76,1765.73
249,,,,,,,,,,,0.000000,0,271143,36.87,1768.48
250,,,,,,,,,,,578.815922,333,271476,36.99,1770.01
251,,,,,,,,,,,498.658232,1564,273040,37.00,1770.01
252,,,,,,,,,,,320.357673,332,273372,37.05,1777.10
253,,,,,,,,,,,59.019321,283,273655,37.10,1779.83
254,,,,,,,,,,,176.340728,2186,275841,37.13,1779.83
255,,,,,,,,,,,378.323076,1517,277358,37.18,1779.92
256,,,,,,,,,,,401.579829,1722,279080,37.22,1781.81
257,,,,,,,,,,,22.346126,1,279081,37.22,1827.67
258,,,,,,,,,,,320.400508,612,279693,37.24,1827.67
259,,,,,,,,,,,385.451989,686,280379,37.26,1827.67
260,,,,,,,,,,,351.188967,641,281020,37.38,1827.79
261,,,,,,,,,,,505.906551,35,281055,37.52,1832.23
262,,,,,,,,,,,0.000000,0,281055,37.64,1832.23
263,,,,,,,,,,,393.735173,1269,282324,37.75,1836.81
264,,,,,,,,,,,377.115898,2005,284329,37.80,1836.81
265,,,,,,,,,,,384.301156,1160,285489,37.80,1839.54
266,,,,,,,,,,,0.000000,0,285489,37.76,1839.54
267,,,,,,,,,,,130.453458,823,286312,37.76,1839.54
268,,,,,,,,,,,0.000000,0,286312,37.84,1839.71
269,,,,,,,,,,,291.926784,199,286511,37.95,1839.71
270,,,,,,,,,,,258.215675,1876,288387,38.06,1839.80
271,,,,,,,,,,,0.000000,0,288387,38.14,1839.99
272,,,,,,,,,,,68.982270,1865,290252,38.21,1842.04
273,,,,,,,,,,,342.748736,1719,291971,38.25,1842.72
274,,,,,,,,,,,433.882445,1486,293457,38.28,1842.81
275,,,,,,,,,,,343.524816,1199,294656,38.32,1844.85
276,,,,,,,,,,,0.000000,0,294656,38.35,1844.85
277,,,,,,,,,,,0.000000,0,294656,38.36,1844.85
278,,,,,,,,,,,0.000000,0,294656,38.35,1844.85
279,,,,,,,,,,,0.000000,0,294656,38.35,1844.85
280,,,,,,,,,,,436.312279,334,294990,38.30,1847.58
281,,,,,,,,,,,0.000000,0,294990,38.24,1847.58
282,,,,,,,,,,,0.000000,0,294990,38.26,1847.58
283,,,,,,,,,,,0.000000,0,294990,38.36,1847.58
284,,,,,,,,,,,465.496959,334,295324,38.47,1897.65
285,,,,,,,,,,,347.923668,1967,297291,38.56,1897.65
286,,,,,,,,,,,307.984468,1296,298587,38.58,1947.55
287,,,,,,,,,,,432.321443,560,299147,38.52,1947.55
